WB_id,exclusive_detection_contrast,logFC_PFOSA,FDR_PFOSA,logFC_PFBSA,FDR_PFBSA,logFC_PFOS,FDR_PFOS,logFC_PFNA,FDR_PFNA,logFC_PFOA,FDR_PFOA,logFC_GenX,FDR_GenX,logFC_PFEESA,FDR_PFEESA,logFC_PFBS,FDR_PFBS,logFC_PFPeA,FDR_PFPeA,logFC_PFBA,FDR_PFBA
WBGene00000002,PFOSA,-0.510231824,0.000187896,-0.30039009418581,0.0628827025871606,-0.0791790302506553,0.999139297746776,-0.242922456103164,0.461974047703923,-0.06873371541398,0.998843368542314,-0.154006284,0.722808554,-0.159771514042316,0.530324225393997,-0.235910761735477,0.299313461209324,-0.218291296595629,0.119717277293082,-0.148481977227511,0.957610500103173
WBGene00000004,PFOSA,0.245652848,0.018099164,0.0242885362539965,0.895824252149417,-0.0300316365958696,0.999139297746776,-0.0240534006753264,0.973563803488469,0.0130827453182205,0.998843368542314,0.044685378,0.948252159,0.0196979560149152,0.950364122853426,0.042452149398364,0.885876902317799,0.179790114243166,0.111198383192524,-0.125583151496224,0.957610500103173
WBGene00000005,PFOSA,-1.590081762,1.1675805959041e-05,0.151346952838975,0.723809993475604,0.186012541174682,0.999139297746776,0.212459153617899,0.859480951343361,0.0698879765434443,0.998843368542314,0.049508274,0.980622858,-0.0007636586723794,0.998886333292329,0.227054497301095,0.715276251077831,-0.159660630895237,0.635124795235368,0.15680750435994,0.995186746098776
WBGene00000016,PFOSA,1.507553849,4.3391706841047e-16,0.190871830087227,0.222069361392396,-0.00279308364121,0.999139297746776,-0.106371793360984,0.837187794360162,-0.162365997740523,0.998843368542314,-0.270237159,0.239390709,0.0056484054105807,0.987599762715487,-0.211315258831736,0.33362899110312,-0.0553235757041894,0.713919365749559,-0.0545722796254055,0.996809935913162
WBGene00000017,PFOSA,2.234128612,4.1100291859926e-17,0.0693647660724759,0.79206313500336,-0.0166371785384992,0.999139297746776,-0.258526414080758,0.58240354665692,-0.0820907502332859,0.998843368542314,-0.05151552,0.969938528,0.0585022486379136,0.888594412716708,-0.0607296777153258,0.894467229079077,0.0787041184127966,0.688574283342545,-0.158893076842026,0.977047150158856
WBGene00000033,PFOSA,3.862989662,1.65369646271885e-10,0.0974018903496742,0.947915963045822,0.202812187240294,0.999139297746776,-0.115825343476951,0.983791281177623,-0.863694965285479,0.998843368542314,-0.622815156,0.856637301,-0.120599252771593,0.963254477560219,0.301172879308211,0.891969445004784,-0.61057836365693,0.55904657368176,-0.429354811745533,0.996809935913162
WBGene00000056,PFOSA,0.409253656,0.026058563,-0.161817769643547,0.585462312398824,-0.0034025703842554,0.999139297746776,0.243789090853772,0.69655410476367,0.141073964196453,0.998843368542314,0.075726598,0.955173445,0.158061842519044,0.704921859062989,0.154291120290509,0.735764751937877,0.0569161993414323,0.819091842104909,0.13451164461287,0.995085653440974
WBGene00000067,PFOSA,-1.61173776,1.83521351129748e-15,-0.181632137905759,0.281155243050214,0.0048376646758567,0.999139297746776,0.10193866584558,0.857459308448616,0.0145684652471008,0.998843368542314,-0.046743836,0.95971245,0.0060193342568187,0.987590291882596,0.0052448575663133,0.988976935888759,0.0134151211168262,0.940774131181427,-0.0189412662825864,0.999077252564793
WBGene00000070,PFOSA,-0.575828953,2.78067867716248e-08,-0.0172795084021339,0.91151795240951,0.0204778232481809,0.999139297746776,0.0209475408544591,0.972537905270257,0.0530679440917749,0.998843368542314,0.096257579,0.758692043,-0.0676613259170885,0.728406442138046,-0.0784551448679165,0.696357940126931,0.059347924599317,0.571598373095573,-0.0658929830057148,0.995085653440974
WBGene00000071,PFOSA,-0.281486252,0.017818785,0.144941820397625,0.36431753239973,0.118351947903881,0.999139297746776,0.0570291638107268,0.92435932389332,0.0145927542014564,0.998843368542314,0.039762255,0.967767566,0.0485038793515329,0.87075601918756,0.189465276418165,0.369277317675955,0.145642424528392,0.258228650687543,0.0648801955439463,0.99649404913039
WBGene00000073,PFOSA,0.45681503,7.0727971000105e-06,0.176335850324121,0.148380182345759,0.0296265388471826,0.999139297746776,0.110784234569053,0.746206129003467,0.0303908140758189,0.998843368542314,0.036885334,0.95624139,0.0002260638235516,0.999008838959513,-0.0093895651596823,0.9762964898629,-0.0114268624165525,0.93259103390797,0.0976731610597342,0.977047150158856
WBGene00000079,PFOSA,-0.31237469,0.000247644,-0.0657861060442605,0.593692678032464,-0.051493512982184,0.999139297746776,-0.100693940057981,0.721463838783868,-0.0060752280218339,0.998843368542314,-0.103682242,0.696099874,-0.033039230757579,0.875573358636654,-0.0668855719431707,0.732397032617247,-0.148563439344724,0.0941539340234242,-0.0453983242249799,0.99649404913039
WBGene00000082,PFOSA,0.572097786,0.030348258,-0.023800839145038,0.963905355597034,-0.435796497972694,0.979191460659024,-0.503758293079194,0.571714787627219,-0.371043699049231,0.998843368542314,0.211808962,0.895928922,-0.467383493154101,0.389843778524263,0.0236502126004295,0.980291130091349,0.259063523215752,0.408449328134837,-0.268345978147879,0.981699784488181
WBGene00000089,PFOSA,0.418081139,1.85571783566869e-05,0.0897069828741664,0.502927693840506,0.149585509214332,0.907212133840133,0.13275841484526,0.660936743097688,0.0642291420784164,0.998843368542314,-0.024965333,0.971159695,0.051706200637892,0.820924868831312,0.139779424377981,0.420708168492538,0.12742321256415,0.21078172244774,0.0876057748931043,0.977121454177781
WBGene00000093,PFOSA,-0.756752769,3.81565659244858e-06,-0.0031413324474676,0.991167935220342,0.0032859942334428,0.999139297746776,0.0606623216361198,0.938608625147805,0.010718252680207,0.998843368542314,0.071234921,0.931423336,0.0184186871797783,0.967217636744688,0.101306181018307,0.770495013071576,-0.122484493359834,0.456222341259834,0.16777332148469,0.957610500103173
WBGene00000096,PFOSA,0.335354292,0.030881357,0.34356139038418,0.0777482142689947,0.0818603362275275,0.999139297746776,0.0840890422871364,0.913057514330201,0.0801001417283305,0.998843368542314,0.020956436,0.988996103,0.116048649840688,0.74743973834432,0.163476974071157,0.63125362885513,0.274237101272684,0.103971365995411,-0.124576188978975,0.995085653440974
WBGene00000102,PFOSA,0.638804704,1.03057165667729e-06,-0.137829125932538,0.401790992416858,0.020593159505792,0.999139297746776,-0.087110761247397,0.87699731054041,-0.0368412521858235,0.998843368542314,-0.068751811,0.915871413,-0.0109544063928953,0.977285379962499,-0.050431326461461,0.878573023033506,-0.148112367191052,0.261131982832268,-0.0199847906909401,0.999077252564793
WBGene00000103,PFOSA,0.454457611,1.99268179048378e-07,0.10197204450951,0.331418044068678,0.0306225364199482,0.999139297746776,0.0315494514087365,0.944683085734506,0.0030291753155667,0.998843368542314,0.061406012,0.860190187,0.0816237944184702,0.609650837161349,0.126229761107222,0.369277317675955,0.112924417713677,0.183365030552782,0.111538897391115,0.909300605421808
WBGene00000105,PFOSA,-0.54294722,9.11614492924469e-07,-0.178265061781105,0.159833703045805,0.0118988143463396,0.999139297746776,0.0178190365611394,0.977052777791466,0.0844931393822334,0.998843368542314,-0.054952572,0.921239323,0.0144837327978779,0.96372096852747,-0.0552602114896627,0.830550368622699,-0.155112569001638,0.152061974854838,-0.0857718068251286,0.984767003956602
WBGene00000109,PFOSA,0.40140541,6.16649294971061e-05,-0.0995519386346676,0.464039818466243,0.0547231447793028,0.999139297746776,0.110482091772111,0.746169560629302,0.0759980568281341,0.998843368542314,0.117042483,0.707209309,0.0351727089387219,0.889359914719431,0.0157516774640101,0.96067471246299,0.170945033073806,0.0974822699518524,0.0320250127570285,0.999077252564793
